alpha,call_id,egemaps_backend,ema_ms,end_to_end_ms,feat_ms,feature_type,final_S,first_alert_ms,fwd_ms,kind,label,load_ms,n_segments,peak_seg_ms,prob,rep,rss_mb,score_S,segment_id,tau,total_call_ms
,,,0.008437,78.851719,10.8175,mfcc,,,67.607396,segment,0,0.418386,,,0.2606247067451477,0,233.5625,0.1824372947216034,d02j12s000857_29,,
,,,0.003125,5.045989,2.970208,mfcc,,,1.510729,segment,0,0.561927,,,0.2606247067451477,1,233.9609375,0.1824372947216034,d02j12s000857_29,,
,,,0.001927,3.037031,2.480781,mfcc,,,0.241094,segment,0,0.313229,,,0.2606247067451477,2,234.00390625,0.1824372947216034,d02j12s000857_29,,
,,,0.002083,3.025677,2.398594,mfcc,,,0.328386,segment,0,0.296614,,,0.2606247067451477,3,234.00390625,0.1824372947216034,d02j12s000857_29,,
,,,0.002188,3.500053,2.403802,mfcc,,,0.83151,segment,0,0.262553,,,0.2606247067451477,4,234.00390625,0.1824372947216034,d02j12s000857_29,,
,,,0.00099,2.263959,1.890104,mfcc,,,0.156667,segment,0,0.216198,,,0.2606247067451477,5,234.00390625,0.1824372947216034,d02j12s000857_29,,
,,,0.000937,1.780677,1.500573,mfcc,,,0.12823,segment,0,0.150937,,,0.2606247067451477,6,234.00390625,0.1824372947216034,d02j12s000857_29,,
,,,0.000886,1.669063,1.424584,mfcc,,,0.112864,segment,0,0.130729,,,0.2606247067451477,7,234.0078125,0.1824372947216034,d02j12s000857_29,,
,,,0.000677,1.689375,1.444583,mfcc,,,0.11849,segment,0,0.125625,,,0.2606247067451477,8,234.0078125,0.1824372947216034,d02j12s000857_29,,
,,,0.000677,1.607031,1.386875,mfcc,,,0.10349,segment,0,0.115989,,,0.2606247067451477,9,234.0078125,0.1824372947216034,d02j12s000857_29,,
,,,0.001875,7.597188,6.818177,mfcc,,,0.393438,segment,1,0.383698,,,0.9999947547912598,0,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.001094,6.43125,5.591979,mfcc,,,0.197813,segment,1,0.640364,,,0.9999947547912598,1,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.001302,6.041041,5.263125,mfcc,,,0.338646,segment,1,0.437968,,,0.9999947547912598,2,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.001093,6.433698,5.778177,mfcc,,,0.180938,segment,1,0.47349,,,0.9999947547912598,3,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.000729,5.706041,5.16151,mfcc,,,0.125677,segment,1,0.418125,,,0.9999947547912598,4,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.001198,6.109896,5.461302,mfcc,,,0.267916,segment,1,0.37948,,,0.9999947547912598,5,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.000885,6.276302,5.5675,mfcc,,,0.231875,segment,1,0.476042,,,0.9999947547912598,6,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.000834,5.783802,5.122344,mfcc,,,0.218958,segment,1,0.441666,,,0.9999947547912598,7,234.5703125,0.6999963283538818,vishing_366_52,,
,,,0.00151,7.164531,6.327396,mfcc,,,0.375781,segment,1,0.459844,,,0.9999947547912598,8,234.57421875,0.6999963283538818,vishing_366_52,,
,,,0.001042,6.296667,5.523646,mfcc,,,0.238385,segment,1,0.533594,,,0.9999947547912598,9,234.57421875,0.6999963283538818,vishing_366_52,,
,,,0.001354,4.109792,3.552969,mfcc,,,0.169427,segment,0,0.386042,,,0.33413180708885193,0,234.47265625,0.23389226496219634,d01j020s006622_3,,
,,,0.001562,4.223437,3.52375,mfcc,,,0.321667,segment,0,0.376458,,,0.33413180708885193,1,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.001042,4.141771,3.654896,mfcc,,,0.143021,segment,0,0.342812,,,0.33413180708885193,2,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.000938,3.748646,3.322031,mfcc,,,0.123333,segment,0,0.302344,,,0.33413180708885193,3,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.000781,3.68,3.309844,mfcc,,,0.108021,segment,0,0.261354,,,0.33413180708885193,4,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.001458,4.088333,3.536511,mfcc,,,0.283854,segment,0,0.26651,,,0.33413180708885193,5,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.000729,4.253646,3.750105,mfcc,,,0.151823,segment,0,0.350989,,,0.33413180708885193,6,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.000729,3.787865,3.387761,mfcc,,,0.125521,segment,0,0.273854,,,0.33413180708885193,7,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.000729,3.82552,3.339583,mfcc,,,0.230104,segment,0,0.255104,,,0.33413180708885193,8,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.001406,4.676615,3.897292,mfcc,,,0.515,segment,0,0.262917,,,0.33413180708885193,9,234.56640625,0.23389226496219634,d01j020s006622_3,,
,,,0.001563,9.037188,7.497709,mfcc,,,0.351718,segment,0,1.186198,,,0.33167561888694763,0,234.8125,0.23217293322086333,d04j18s014737_2,,
,,,0.001094,7.361615,6.133594,mfcc,,,0.643958,segment,0,0.582969,,,0.33167561888694763,1,234.8125,0.23217293322086333,d04j18s014737_2,,
,,,0.001719,7.533021,6.680885,mfcc,,,0.344844,segment,0,0.505573,,,0.33167561888694763,2,234.8125,0.23217293322086333,d04j18s014737_2,,
,,,0.000938,6.816563,6.051979,mfcc,,,0.203698,segment,0,0.559948,,,0.33167561888694763,3,234.81640625,0.23217293322086333,d04j18s014737_2,,
,,,0.001615,6.779896,5.927969,mfcc,,,0.347344,segment,0,0.502968,,,0.33167561888694763,4,234.81640625,0.23217293322086333,d04j18s014737_2,,
,,,0.00099,7.235625,6.427605,mfcc,,,0.222187,segment,0,0.584843,,,0.33167561888694763,5,234.81640625,0.23217293322086333,d04j18s014737_2,,
,,,0.002135,8.834115,5.708385,mfcc,,,2.62948,segment,0,0.494115,,,0.33167561888694763,6,234.81640625,0.23217293322086333,d04j18s014737_2,,
,,,0.00125,7.825521,6.913229,mfcc,,,0.254948,segment,0,0.656094,,,0.33167561888694763,7,234.8203125,0.23217293322086333,d04j18s014737_2,,
,,,0.001511,7.139479,6.214427,mfcc,,,0.384635,segment,0,0.538906,,,0.33167561888694763,8,234.8203125,0.23217293322086333,d04j18s014737_2,,
,,,0.001355,6.99198,6.230313,mfcc,,,0.23151,segment,0,0.528802,,,0.33167561888694763,9,234.8203125,0.23217293322086333,d04j18s014737_2,,
,,,0.001197,5.448645,3.729531,mfcc,,,0.628386,segment,1,1.089531,,,0.9987701773643494,0,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.001146,4.240365,3.657916,mfcc,,,0.195417,segment,1,0.385886,,,0.9987701773643494,1,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000937,4.497656,3.748437,mfcc,,,0.160417,segment,1,0.587865,,,0.9987701773643494,2,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000625,3.848802,3.437395,mfcc,,,0.108177,segment,1,0.302605,,,0.9987701773643494,3,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000937,3.869687,3.385625,mfcc,,,0.207813,segment,1,0.275312,,,0.9987701773643494,4,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.00125,4.232864,3.768177,mfcc,,,0.174583,segment,1,0.288854,,,0.9987701773643494,5,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000781,3.968385,3.545625,mfcc,,,0.103646,segment,1,0.318333,,,0.9987701773643494,6,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000677,3.815885,3.442135,mfcc,,,0.101875,segment,1,0.271198,,,0.9987701773643494,7,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000781,3.984635,3.412865,mfcc,,,0.311979,segment,1,0.25901,,,0.9987701773643494,8,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.000885,4.119271,3.681458,mfcc,,,0.176511,segment,1,0.260417,,,0.9987701773643494,9,234.59375,0.6991391241550445,vishing_304_49,,
,,,0.002292,8.372865,6.253125,mfcc,,,0.873125,segment,0,1.244323,,,0.6170220375061035,0,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.000989,5.823021,5.084687,mfcc,,,0.195678,segment,0,0.541667,,,0.6170220375061035,1,234.74609375,0.4319154262542724,d02j12s000074_6,,
,,,0.001354,5.561198,4.874271,mfcc,,,0.283646,segment,0,0.401927,,,0.6170220375061035,2,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.001094,5.750104,5.123906,mfcc,,,0.172083,segment,0,0.453021,,,0.6170220375061035,3,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.000938,5.301146,4.767812,mfcc,,,0.138021,segment,0,0.394375,,,0.6170220375061035,4,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.001667,5.573229,4.921719,mfcc,,,0.263958,segment,0,0.385885,,,0.6170220375061035,5,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.001094,5.671875,5.059635,mfcc,,,0.164323,segment,0,0.446823,,,0.6170220375061035,6,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.000885,5.298906,4.735833,mfcc,,,0.172969,segment,0,0.389219,,,0.6170220375061035,7,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.00198,5.550313,4.948177,mfcc,,,0.237083,segment,0,0.363073,,,0.6170220375061035,8,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.001355,6.261459,5.603489,mfcc,,,0.208854,segment,0,0.447761,,,0.6170220375061035,9,234.8671875,0.4319154262542724,d02j12s000074_6,,
,,,0.001094,3.353021,2.16724,mfcc,,,0.547083,segment,1,0.637604,,,0.9999942779541016,0,234.9375,0.6999959945678711,vishing_653_85,,
,,,0.00151,2.660156,2.196042,mfcc,,,0.204479,segment,1,0.258125,,,0.9999942779541016,1,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000886,2.497031,2.150417,mfcc,,,0.129739,segment,1,0.215989,,,0.9999942779541016,2,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000886,2.326042,2.038073,mfcc,,,0.114271,segment,1,0.172812,,,0.9999942779541016,3,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000729,2.255365,1.99599,mfcc,,,0.104948,segment,1,0.153698,,,0.9999942779541016,4,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000833,2.266979,1.950989,mfcc,,,0.176771,segment,1,0.138386,,,0.9999942779541016,5,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000782,2.159584,1.921719,mfcc,,,0.100156,segment,1,0.136927,,,0.9999942779541016,6,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000677,2.264167,1.94651,mfcc,,,0.18349,segment,1,0.13349,,,0.9999942779541016,7,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000885,2.293385,2.003125,mfcc,,,0.151927,segment,1,0.137448,,,0.9999942779541016,8,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.000677,2.258021,1.986771,mfcc,,,0.104635,segment,1,0.165938,,,0.9999942779541016,9,235.15625,0.6999959945678711,vishing_653_85,,
,,,0.001615,6.755,5.262552,mfcc,,,0.376719,segment,0,1.114114,,,0.576858401298523,0,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.000677,4.605,3.860469,mfcc,,,0.167917,segment,0,0.575937,,,0.576858401298523,1,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.000781,4.070573,3.580573,mfcc,,,0.177344,segment,0,0.311875,,,0.576858401298523,2,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.00099,4.013073,3.565104,mfcc,,,0.173177,segment,0,0.273802,,,0.576858401298523,3,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.000989,4.433073,3.896666,mfcc,,,0.188282,segment,0,0.347136,,,0.576858401298523,4,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.000886,4.123594,3.669167,mfcc,,,0.150416,segment,0,0.303125,,,0.576858401298523,5,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.000833,4.07526,3.664531,mfcc,,,0.135938,segment,0,0.273958,,,0.576858401298523,6,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.001407,4.123594,3.640677,mfcc,,,0.207864,segment,0,0.273646,,,0.576858401298523,7,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.001041,4.455937,3.93,mfcc,,,0.163959,segment,0,0.360937,,,0.576858401298523,8,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.000781,4.167187,3.703229,mfcc,,,0.163854,segment,0,0.299323,,,0.576858401298523,9,235.51953125,0.40380088090896604,d01j04s006795_22,,
,,,0.001355,6.991198,5.378646,mfcc,,,0.269947,segment,1,1.34125,,,0.9998094439506531,0,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.001094,4.884375,4.141198,mfcc,,,0.303645,segment,1,0.438438,,,0.9998094439506531,1,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.001667,5.177865,4.565833,mfcc,,,0.245521,segment,1,0.364844,,,0.9998094439506531,2,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.001719,5.560469,4.853959,mfcc,,,0.310937,segment,1,0.393854,,,0.9998094439506531,3,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.000885,5.151614,4.140313,mfcc,,,0.550729,segment,1,0.459687,,,0.9998094439506531,4,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.001198,4.993281,4.360729,mfcc,,,0.286979,segment,1,0.344375,,,0.9998094439506531,5,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.001458,4.983906,4.407605,mfcc,,,0.164323,segment,1,0.41052,,,0.9998094439506531,6,235.5625,0.6998666107654571,vishing_617_334,,
,,,0.001146,4.503438,4.020677,mfcc,,,0.141459,segment,1,0.340156,,,0.9998094439506531,7,235.56640625,0.6998666107654571,vishing_617_334,,
,,,0.001823,4.855261,3.952291,mfcc,,,0.595105,segment,1,0.306042,,,0.9998094439506531,8,235.56640625,0.6998666107654571,vishing_617_334,,
,,,0.000885,5.556093,4.831771,mfcc,,,0.223125,segment,1,0.500312,,,0.9998094439506531,9,235.56640625,0.6998666107654571,vishing_617_334,,
,,,0.00151,10.560677,8.891875,mfcc,,,0.334271,segment,0,1.333021,,,0.5221792459487915,0,236.03515625,0.36552547216415404,d01j021s007425_1,,
,,,0.001302,8.332708,7.318021,mfcc,,,0.368281,segment,0,0.645104,,,0.5221792459487915,1,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.001302,9.197031,8.136198,mfcc,,,0.348594,segment,0,0.710937,,,0.5221792459487915,2,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.004636,8.593646,7.551093,mfcc,,,0.390625,segment,0,0.647292,,,0.5221792459487915,3,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.001875,10.144115,8.522812,mfcc,,,0.987657,segment,0,0.631771,,,0.5221792459487915,4,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.001354,11.042917,9.598594,mfcc,,,0.665365,segment,0,0.777604,,,0.5221792459487915,5,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.001198,8.004896,7.161458,mfcc,,,0.263281,segment,0,0.578959,,,0.5221792459487915,6,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.001146,8.547136,7.616406,mfcc,,,0.268542,segment,0,0.661042,,,0.5221792459487915,7,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.001302,7.580729,6.803489,mfcc,,,0.240365,segment,0,0.535573,,,0.5221792459487915,8,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.00125,8.626459,7.7525,mfcc,,,0.280052,segment,0,0.592657,,,0.5221792459487915,9,236.21875,0.36552547216415404,d01j021s007425_1,,
,,,0.000937,2.903437,1.362396,mfcc,,,0.710886,segment,1,0.829218,,,0.9957093000411987,0,235.53515625,0.6969965100288391,vishing_453_5,,
,,,0.000937,1.557969,1.188021,mfcc,,,0.207604,segment,1,0.161407,,,0.9957093000411987,1,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.001146,1.506511,1.139844,mfcc,,,0.207917,segment,1,0.157604,,,0.9957093000411987,2,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000782,1.358229,1.096927,mfcc,,,0.122864,segment,1,0.137656,,,0.9957093000411987,3,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000625,1.33198,1.079687,mfcc,,,0.142605,segment,1,0.109063,,,0.9957093000411987,4,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000625,1.341615,1.118333,mfcc,,,0.115261,segment,1,0.107396,,,0.9957093000411987,5,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000677,1.320261,1.093073,mfcc,,,0.114531,segment,1,0.11198,,,0.9957093000411987,6,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000677,1.324635,1.076458,mfcc,,,0.139115,segment,1,0.108385,,,0.9957093000411987,7,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000625,1.340104,1.119323,mfcc,,,0.11151,segment,1,0.108646,,,0.9957093000411987,8,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.000729,1.704739,1.072969,mfcc,,,0.524948,segment,1,0.106093,,,0.9957093000411987,9,235.60546875,0.6969965100288391,vishing_453_5,,
,,,0.003438,11.434636,8.538229,mfcc,,,0.89724,segment,1,1.995729,,,0.9992679953575134,0,236.0546875,0.6994875967502594,vishing_44_0,,
,,,0.00177,8.137083,7.077969,mfcc,,,0.275417,segment,1,0.781927,,,0.9992679953575134,1,236.0546875,0.6994875967502594,vishing_44_0,,
,,,0.001302,5.540677,4.815312,mfcc,,,0.284323,segment,1,0.43974,,,0.9992679953575134,2,236.0546875,0.6994875967502594,vishing_44_0,,
,,,0.001354,5.860104,5.189948,mfcc,,,0.225208,segment,1,0.443594,,,0.9992679953575134,3,236.0546875,0.6994875967502594,vishing_44_0,,
